Project ID,Client,DealID,Project Name,Batch,Previsional launch date,Previsional final date,Previsional First delivery date,Status,Service,Categories of Modeling,Comments,Qty,% of allocated,Confidence Level,Last Modified,Change Reason,Notified People,Project Manager,Duration,R0 Previsional Date,Feedback R0 Previsional Date,R1 Previsional Date,Feedback R1 Previsional Date,R2 Previsional Date,Feedback R2 Previsional Date,R3 Previsional Date,Feedback R3 Previsional Date,R4 Previsional Date,Feedback R4 Previsional Date
D-2412-02925Living spaces Gen Ai - Set Up Phase,LIVINGSPACES,D-2412-02925,Living spaces Gen Ai - Set Up Phase,,30/01/2025,28/02/2025,10/02/2025,In Progress,GENIA,,Livraisons : 15 batchs de 20 images,300,,Sheduled with customer,,,,,29,,,,,,,,,,
D-2412-02925Living spaces Gen Ai - Scale Phase 1,LIVINGSPACES,D-2412-02925,Living spaces Gen Ai - Scale Phase 1,,21/02/2025,21/03/2025,12/03/2025,In Progress,GENIA,,Livraisons : 14 batchs de 50 images,300,,Sheduled with customer,,,,,28,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Rugs Set Up Phase,LOWES,D-2410-02914,Lowes Gen Ai - Rugs Set Up Phase,,07/02/2025,12/02/2025,12/02/2025,In Progress,GENIA,,1 batch de 10 images,10,,Sheduled with customer,,,,,5,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Rugs Initial production Phase,LOWES,D-2410-02914,Lowes Gen Ai - Rugs Initial production Phase,,21/02/2025,14/03/2025,10/03/2025,In Progress,GENIA,,5 batchs de 20 images,100,,Sheduled with customer,,,,,21,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Ceiling fan Set Up Phase,LOWES,D-2410-02914,Lowes Gen Ai - Ceiling fan Set Up Phase,,17/03/2025,27/03/2025,27/03/2025,In Progress,GENIA,,1 batch de 10 images,10,,Sheduled with customer,,,,,10,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Ceiling fan Initial production Phase,LOWES,D-2410-02914,Lowes Gen Ai - Ceiling fan Initial production Phase,,31/03/2025,16/04/2025,09/04/2025,Coming,GENIA,,5 batchs de 20 images,100,,Signed & not sheduled,,,,,16,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Pendant Set Up Phase,LOWES,D-2410-02914,Lowes Gen Ai - Pendant Set Up Phase,,17/03/2025,27/03/2025,27/03/2025,In Progress,GENIA,,1 batch de 10 images,10,,Sheduled with customer,,,,,10,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Pendant Initial production Phase,LOWES,D-2410-02914,Lowes Gen Ai - Pendant Initial production Phase,,31/03/2025,16/04/2025,09/04/2025,Coming,GENIA,,5 batchs de 20 images,100,,Signed & not sheduled,,,,,16,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Rugs Scale Phase,LOWES,D-2410-02914,Lowes Gen Ai - Rugs Scale Phase,,01/04/2025,08/05/2025,14/04/2025,In Progress,GENIA,,19 batchs de 100 images,"1,890",,Sheduled with customer,,,,,,,,,,,,,,,
D-2412-02925Living spaces Gen Ai - Scale Phase 2,LIVINGSPACES,D-2412-02925,Living spaces Gen Ai - Scale Phase 2,,11/03/2025,02/04/2025,19/03/2025,Coming,GENIA,,Livraisons : 14 batchs de 50 images,400,,Sheduled with customer,,,,,22,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Sofa Set Up Phase,LOWES,D-2410-02914,Lowes Gen Ai - Sofa Set Up Phase,,20/03/2025,30/03/2025,30/03/2025,Coming,GENIA,,1 batch de 10 images,10,,Signed & not sheduled,,,,,10,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Sofa Initial production Phase,LOWES,D-2410-02914,Lowes Gen Ai - Sofa Initial production Phase,,02/04/2025,18/04/2025,14/04/2025,Coming,GENIA,,5 batchs de 20 images,100,,Signed & not sheduled,,,,,16,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Bed Set Up Phase,LOWES,D-2410-02914,Lowes Gen Ai - Bed Set Up Phase,,21/03/2025,31/03/2025,31/03/2025,Coming,GENIA,,1 batch de 10 images,10,,Signed & not sheduled,,,,,10,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Bed Initial production Phase,LOWES,D-2410-02914,Lowes Gen Ai - Bed Initial production Phase,,07/04/2025,23/04/2025,17/04/2025,Coming,GENIA,,5 batchs de 20 images,100,,Signed & not sheduled,,,,,16,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Table lamp Set Up Phase,LOWES,D-2410-02914,Lowes Gen Ai - Table lamp Set Up Phase,,21/03/2025,31/03/2025,31/03/2025,Coming,GENIA,,1 batch de 10 images,10,,Signed & not sheduled,,,,,10,,,,,,,,,,
D-2410-02914Lowes Gen Ai - Table lamp production Phase,LOWES,D-2410-02914,Lowes Gen Ai - Table lamp production Phase,,07/04/2025,18/04/2025,17/04/2025,Coming,GENIA,,5 batchs de 20 images,100,,Signed & not sheduled,,,,,11,,,,,,,,,,
D-2410-02910Oak Furniture-Set-Up Phase,OAK FURNITURE,D-2410-02910,Oak Furniture-Set-Up Phase,,31/03/2025,30/04/2025,10/04/2025,Coming,GENIA,,"4 sku per category, max 6 per category",104,,Signed & not sheduled,,,,,,,,,,,,,,,
D-2410-02910Oak Furniture-Phase 2,OAK FURNITURE,D-2410-02910,Oak Furniture-Phase 2,,05/05/2025,13/06/2025,15/05/2025,Coming,GENIA,,15 images per days in a month,360,,Signed & not sheduled,,,,,,,,,,,,,,,
D-2410-02910Oak Furniture-Phase 3,OAK FURNITURE,D-2410-02910,Oak Furniture-Phase 3,,30/06/2025,23/12/2025,10/07/2025,Coming,GENIA,,30 images per day,"3,536",,Signed & not sheduled,,,,,,,,,,,,,,,
