Project ID,Project Name,Client,Type,Status,Provisional launch date,Provisional final date,Qty
D-2412-02925Living spaces Gen Ai - Set Up Phase,Living spaces Gen Ai - Set Up Phase,LIVINGSPACES,GENIA,In Progress,30/01/2025,28/02/2025,300
D-2412-02925Living spaces Gen Ai - Scale Phase 1,Living spaces Gen Ai - Scale Phase 1,LIVINGSPACES,GENIA,In Progress,21/02/2025,21/03/2025,300
D-2410-02914Lowes Gen Ai - Rugs Set Up Phase,Lowes Gen Ai - Rugs Set Up Phase,LOWES,GENIA,In Progress,07/02/2025,12/02/2025,10
D-2410-02914Lowes Gen Ai - Rugs Initial production Phase,Lowes Gen Ai - Rugs Initial production Phase,LOWES,GENIA,In Progress,21/02/2025,14/03/2025,100
D-2410-02914Lowes Gen Ai - Ceiling fan Set Up Phase,Lowes Gen Ai - Ceiling fan Set Up Phase,LOWES,GENIA,In Progress,17/03/2025,27/03/2025,10
D-2410-02914Lowes Gen Ai - Ceiling fan Initial production Phase,Lowes Gen Ai - Ceiling fan Initial production Phase,LOWES,GENIA,Coming,31/03/2025,16/04/2025,100
D-2410-02914Lowes Gen Ai - Pendant Set Up Phase,Lowes Gen Ai - Pendant Set Up Phase,LOWES,GENIA,In Progress,17/03/2025,27/03/2025,10
D-2410-02914Lowes Gen Ai - Pendant Initial production Phase,Lowes Gen Ai - Pendant Initial production Phase,LOWES,GENIA,Coming,31/03/2025,16/04/2025,100
D-2410-02914Lowes Gen Ai - Rugs Scale Phase,Lowes Gen Ai - Rugs Scale Phase,LOWES,GENIA,In Progress,01/04/2025,08/05/2025,"1,890"
D-2412-02925Living spaces Gen Ai - Scale Phase 2,Living spaces Gen Ai - Scale Phase 2,LIVINGSPACES,GENIA,Coming,11/03/2025,02/04/2025,400
D-2410-02914Lowes Gen Ai - Sofa Set Up Phase,Lowes Gen Ai - Sofa Set Up Phase,LOWES,GENIA,Coming,20/03/2025,30/03/2025,10
D-2410-02914Lowes Gen Ai - Sofa Initial production Phase,Lowes Gen Ai - Sofa Initial production Phase,LOWES,GENIA,Coming,02/04/2025,18/04/2025,100
D-2410-02914Lowes Gen Ai - Bed Set Up Phase,Lowes Gen Ai - Bed Set Up Phase,LOWES,GENIA,Coming,21/03/2025,31/03/2025,10
D-2410-02914Lowes Gen Ai - Bed Initial production Phase,Lowes Gen Ai - Bed Initial production Phase,LOWES,GENIA,Coming,07/04/2025,23/04/2025,100
D-2410-02914Lowes Gen Ai - Table lamp Set Up Phase,Lowes Gen Ai - Table lamp Set Up Phase,LOWES,GENIA,Coming,21/03/2025,31/03/2025,10
D-2410-02914Lowes Gen Ai - Table lamp production Phase,Lowes Gen Ai - Table lamp production Phase,LOWES,GENIA,Coming,07/04/2025,18/04/2025,100
D-2410-02910Oak Furniture-Set-Up Phase,Oak Furniture-Set-Up Phase,OAK FURNITURE,GENIA,Coming,31/03/2025,30/04/2025,104
D-2410-02910Oak Furniture-Phase 2,Oak Furniture-Phase 2,OAK FURNITURE,GENIA,Coming,05/05/2025,13/06/2025,360
D-2410-02910Oak Furniture-Phase 3,Oak Furniture-Phase 3,OAK FURNITURE,GENIA,Coming,30/06/2025,23/12/2025,"3,536"
Deal_IDPotential AI Project,Potential AI Project,WAYFAIR,GENIA,Coming,15/04/2025,15/08/2025,14997
